g68_test_result.dt,g68_test_result.platform,g68_test_result.forum_name,g68_test_result.brand,g68_test_result.car_series,g68_test_result.car_model,g68_test_result.content_id,g68_test_result.content_type,g68_test_result.content,g68_test_result.energy_type,g68_test_result.driven_kiloms,g68_test_result.url,g68_test_result.nlp_level_1,g68_test_result.nlp_level_2,g68_test_result.nlp_level_3,g68_test_result.nlp_level_4,g68_test_result.nlp_matched_key,g68_test_result.nlp_summaries,g68_test_result.nlp_rating,g68_test_result.nlp_total_score,g68_test_result.nlp_extra_data,g68_test_result.nlp_time,g68_test_result.nlp_unique_id,g68_test_result.nlp_sentiment
2024-05-26,懂车帝,,宝马,宝马5系,G68,7373164927676695350,comment,同感，我更觉得40岁以下的人新5的外观更适合，运动，硬朗，不失帅气,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,6753959146622161922_1_1,positive
2024-03-26,autohome,宝马5系论坛,宝马,宝马5系,G68,107872827-1442487611,comment,请问试驾车不用上牌照吗？,油车,NULL,http://club.autohome.com.cn/bbs/thread/890ac58234b268cd,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:35,6800742383498773589_1_1,neutral
2024-02-22,懂车帝,,宝马,宝马5系,G68,1791571491812361,content,新5系取消了后防倾杆？ 新e反而加回来了,油车,NULL,https://www.dongchedi.com/ugc/article/1791571491812361,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,6842491312742880142_1_1,neutral
2024-06-11,autohome,宝马5系论坛,宝马,宝马5系,G68,108407045-1446554875,comment,好丑啊,油车,NULL,http://club.autohome.com.cn/bbs/thread/86f4f596a6b52529/108407045-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:40,6892719194768276211_1_1,neutral
2024-03-18,autohome,宝马5系论坛,宝马,宝马5系,G68,107804160-1441844946,comment,不清楚嗯,油车,NULL,http://club.autohome.com.cn/bbs/thread/67fc6c6d9a5bc37c,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:40,6903511062091089979_1_1,negative
2024-05-30,autohome,宝马5系论坛,宝马,宝马5系,G68,108237069-1445956968,comment,丑的不行  销量差不是没有原因,油车,NULL,http://club.autohome.com.cn/bbs/thread/c9eee0f60883dc5b,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:42,6914390542611858617_1_1,negative
2024-05-26,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445707238,comment,请问落地价多少？,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:42,6945988752125364004_1_1,neutral
2024-02-25,autohome,宝马5系论坛,宝马,宝马5系,G68,107640033-1440405546,comment,合适就买,油车,NULL,http://club.autohome.com.cn/bbs/thread/9a16f3259291caa4,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:43,6968718216588124024_1_1,positive
2024-05-29,懂车帝,,宝马,宝马5系,G68,1800314286408778,content,新5系之后还会出更高配版本吗,油车,NULL,https://www.dongchedi.com/ugc/article/1800314286408778,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,6990641271717297323_1_1,positive
2024-02-01,懂车帝,,宝马,宝马5系,G68,7330375030281339659,comment,新款5系 落地67万。我提它  不是5系买不起 只是战士哥 更具性价比[666],油车,NULL,,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,7022573426509327289_1_1,neutral
2024-02-27,懂车帝,,宝马,宝马5系,G68,7339926398062478107,comment,是的[我想静静][我想静静][我想静静]是新5系最大的问题了，后排中间座位，狗都不坐,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,7031149883826176790_1_1,positive
2024-05-30,懂车帝,,宝马,宝马5系,G68,1800474735469578,content,兄弟们新5系有没有可能回炉重造外观？25款大改,油车,NULL,https://www.dongchedi.com/ugc/article/1800474735469578,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:45,7123448238438683150_1_1,positive
2024-04-25,autohome,宝马5系论坛,宝马,宝马5系,G68,108091778-1444134773,comment,第二张图的前脸要顺眼一点。,油车,NULL,http://club.autohome.com.cn/bbs/thread/4dad9e840bb76bde,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:45,7126966633442112234_1_1,positive
2024-05-28,懂车帝,,宝马,宝马5系,G68,1800287985118219,content,来提车拉~新5系谁看不迷糊 仪式感很重要,油车,NULL,https://www.dongchedi.com/ugc/article/1800287985118219,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:46,7139896389922137844_1_1,positive
2024-04-21,懂车帝,,宝马,宝马5系,G68,7359906135715250985,comment,主要新5系雷都踩遍了，离谱,油车,NULL,,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:46,7143673828153497807_1_1,neutral
2024-06-04,autohome,宝马5系论坛,宝马,宝马5系,G68,108362701-1446179271,comment,车尾,油车,NULL,http://club.autohome.com.cn/bbs/thread/66d951baa42a2597,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:51,7257184577821276385_1_1,neutral
2024-02-27,懂车帝,,宝马,宝马5系,G68,7340301392180936723,content,全新宝马5系你们喜欢吗？,油车,NULL,https://www.dongchedi.com/ugc/article/7340301392180936723,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:51,7263683933859756336_1_1,positive
2024-04-26,懂车帝,,宝马,宝马5系,G68,7361743360996672297,comment,总结一句话：新5系是一坨屎，不是像！！！,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,7318487328547681862_1_1,positive
2024-06-03,autohome,宝马5系论坛,宝马,宝马5系,G68,108348953-1446156695,comment,全世界最丑的车，没有之一,油车,NULL,http://club.autohome.com.cn/bbs/thread/2523457a958f13f8,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,7362403505869260997_1_1,negative
2024-06-09,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1446448333,comment,看了几次实车 感觉整体还行 就是前后保险杠确实太丑了，我也是 3 系买后悔了，后悔没上 5 系,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,7365125007446875038_1_1,negative
2024-05-23,autohome,宝马5系论坛,宝马,宝马5系,G68,108227267-1445595824,comment,已定5.23,油车,NULL,http://club.autohome.com.cn/bbs/thread/3fca4057bad62206/108227267-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,7374103868410729008_1_1,neutral
2024-01-29,autohome,宝马5系论坛,宝马,宝马5系,G68,107492162-1439075395,comment,可以的，记得530改成525标，这样同事就会觉得你虚荣,油车,NULL,http://club.autohome.com.cn/bbs/thread/f1b6dc35f6af15ba,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:32,-7439965111177148122_1_1,neutral
2024-05-23,autohome,宝马5系论坛,宝马,宝马5系,G68,108250688-1445597820,comment,拉倒吧,油车,NULL,http://club.autohome.com.cn/bbs/thread/476fb5b77530fca5,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:32,-7403403941114082116_1_1,neutral
2024-03-21,autohome,宝马5系论坛,宝马,宝马5系,G68,107833683-1442156312,comment,这个广告非常,油车,NULL,http://club.autohome.com.cn/bbs/thread/5cd3f045a64d006c,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,-7372993772733426827_1_1,neutral
2024-05-27,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445775725,comment,实话实说，之前一直喜欢5系的，这代真丑！,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,-7328011781752768362_1_1,neutral
2024-04-25,autohome,宝马5系论坛,宝马,宝马5系,G68,108091778-1444130605,comment,不是尾部丑，也是爆款，这代不行,油车,NULL,http://club.autohome.com.cn/bbs/thread/4dad9e840bb76bde,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,-7263834614136905803_1_1,neutral
2024-05-26,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445706141,comment,买的早的都大冤种，我22款320LI上路含利息也快33万了，家里有一辆宝马了，你还添宝马啊，真是粉丝啊。我准备下一目标E300L，不想再开同一品牌。,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,-7261524812959096226_1_1,neutral
2024-04-08,懂车帝,,宝马,宝马5系,G68,7355322708647445285,comment,新5系销量太差了 优惠还不给力 不差钱直接上e吧,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:35,-7257801692351244041_1_1,negative
2024-05-29,autohome,宝马i5论坛,宝马,宝马i5,G68,108262083-1445886706,comment,深圳车友没说错啊，还真是颜值影响,电车,NULL,http://club.autohome.com.cn/bbs/thread/d1444bc024a65dda/108262083-1.html,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:35,-7168264750812921512_1_1,positive
2024-05-08,autohome,宝马5系论坛,宝马,宝马5系,G68,108183878-1444786240,comment,屁股和侧面真的“帅”,油车,NULL,http://club.autohome.com.cn/bbs/thread/86fdae223e090aad/108183878-1.html,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:37,-7165595125189525967_1_1,positive
2024-05-27,autohome,宝马i5论坛,宝马,宝马i5,G68,108262083-1445801937,comment,这代5系是真的不好看，你说的原因也是其中一部份，但确实很多人对这个外观很失望,电车,NULL,http://club.autohome.com.cn/bbs/thread/d1444bc024a65dda/108262083-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,-7139176858702181677_1_1,negative
2024-03-29,懂车帝,,宝马,宝马5系,G68,7351323513888228123,comment,新5系先撒泡尿照照自己是个东西。如花？,油车,NULL,,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:42,-7012415796999675455_1_1,neutral
2024-04-17,autohome,宝马i5论坛,宝马,宝马i5,G68,108029641-1443682162,comment,大家一起喊五个字：落地二十五,电车,NULL,http://club.autohome.com.cn/bbs/thread/9c0d480c21b35bd3/108029641-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:43,-6971841646266299098_1_1,neutral
2024-06-10,autohome,宝马5系论坛,宝马,宝马5系,G68,108362701-1446500511,comment,宝马不是豪华品牌，落地32的5系更不是，还没奥迪a6贵，没档次,油车,NULL,http://club.autohome.com.cn/bbs/thread/66d951baa42a2597,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,-6954069286656271711_1_1,negative
2024-05-15,autohome,宝马5系论坛,宝马,宝马5系,G68,108239044-1445189804,comment,666,油车,NULL,http://club.autohome.com.cn/bbs/thread/40bdb516867253a3,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,-6942819191129072351_1_1,neutral
2024-04-12,懂车帝,,宝马,宝马5系,G68,7356576331008246540,comment,快看呐，我买的是5系，不是3系。[泣不成声]这新5系，已经如此需要被人认同了吗…,油车,NULL,,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,-6906005121918803756_1_1,neutral
2024-02-02,懂车帝,,宝马,宝马5系,G68,7330559295165989647,comment,你是买新E了还是买新5了？,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,-6861756957875088979_1_1,positive
2024-06-11,autohome,宝马5系论坛,宝马,宝马5系,G68,108349201-1446548375,comment,网上看看,油车,NULL,http://club.autohome.com.cn/bbs/thread/4c654c52a357aac1,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:45,-6848466624682413182_1_1,neutral
2024-06-10,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1446497998,comment,实话实说，原来是准备买5系的，这代出来直接噶了,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:47,-6789696260194341232_1_1,neutral
2024-05-27,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445798971,comment,我买贵了，同是佛山,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:49,-6762010302296280660_1_1,negative
2024-05-02,autohome,宝马i5论坛,宝马,宝马i5,G68,108149429-1444473761,comment,老韭菜也说不算哈,电车,NULL,http://club.autohome.com.cn/bbs/thread/feaa6f75d4f88c6a/108149429-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:49,-6700980446553502066_1_1,negative
2024-01-16,懂车帝,,宝马,宝马5系,G68,7324293870886765338,comment,新5系车内味道大不大？,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:49,-6689592061546857133_1_1,positive
2024-05-25,懂车帝,,宝马,宝马5系,G68,1799951808218112,content,购入车款：宝马5系2024款530Li 领先型 M运动套装 购车时间：2024年5月 购入地点：遵义 裸车价：37.79万 落地价：42.70万,油车,NULL,https://www.dongchedi.com/ugc/article/1799951808218112,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:51,-6616722848834287072_1_1,positive
2024-05-26,autohome,宝马i5论坛,宝马,宝马i5,G68,108262083-1445744402,comment,我更建议i7也要停产,电车,NULL,http://club.autohome.com.cn/bbs/thread/d1444bc024a65dda/108262083-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,-6575519962051676051_1_1,neutral
2024-05-27,懂车帝,,宝马,宝马5系,G68,7373362018097185574,comment,这个好看，新5系,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:32,892644574591709413_1_1,positive
2024-03-13,autohome,宝马5系论坛,宝马,宝马5系,G68,107770089,content,奔驰宝马挨着的，都去看看。E300贷款优惠5 ，新5优惠2。都是要求贷款8成，税和保险实际为准，上牌0.2。没有其他费用了。现在同档次的车，5比E落地贵。还是安心做等等党。,油车,NULL,http://club.autohome.com.cn/bbs/thread/31c69a547945688f,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,950568388638038271_1_1,positive
2024-05-08,autohome,宝马5系论坛,宝马,宝马5系,G68,108183878-1444781184,comment,汽车之家以后标记一下哪些帖子是4s发的，你这照片你同事都发过了，你不能换个人拍一组再发？,油车,NULL,http://club.autohome.com.cn/bbs/thread/86fdae223e090aad/108183878-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:33,982592655385250390_1_1,negative
2024-05-31,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445994712,comment,水鬼5系车主，人生赢家,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,1004866442086998541_1_1,neutral
2024-04-18,懂车帝,,宝马,宝马5系,G68,7359025263491367716,comment,新5设计师审美太拉了，整个车子从里到外难以直视的丑，再加上向节省成本妥协，造就了这么个怪胎,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:34,1020347373863387571_1_1,negative
2024-06-11,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1446534347,comment,这代五系都说丑 个人审美问题 我觉得不丑 但是也没有给人眼前一亮的感觉 但是个人认为比上一代开眼角的五系好看太多了,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:35,1045750540849967222_1_1,neutral
2024-01-25,autohome,宝马5系论坛,宝马,宝马5系,G68,107464507-1438888572,comment,分体眯眯眼自毁前程,油车,NULL,http://club.autohome.com.cn/bbs/thread/2a273f9eb754f339,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:37,1096294096302128305_1_1,neutral
2024-04-19,懂车帝,,宝马,宝马5系,G68,7359189801771336487,comment,怎么可能才加6万多就可以换新款530,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:37,1101238295872284230_1_1,positive
2024-04-23,懂车帝,,宝马,宝马5系,G68,7360729706364322598,comment,开了两年破q5，本想今年上台新5，结果去到四儿子看实车简直是辣眼睛，换车应该是绝不会考虑5系了，和价钱无关！,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,1126083608320372805_1_1,negative
2024-05-26,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445732148,comment,就要喷,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,1127292748366609616_1_1,neutral
2024-03-28,autohome,宝马5系论坛,宝马,宝马5系,G68,107895148-1442647785,comment,觉得外观不赖看的过来签个到11111,油车,NULL,http://club.autohome.com.cn/bbs/thread/4e8ec77b80b5a7a5,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,1139820975468805118_1_1,positive
2024-04-24,autohome,宝马5系论坛,宝马,宝马5系,G68,108084905-1444089504,comment,外观设计 和S一样失败,油车,NULL,http://club.autohome.com.cn/bbs/thread/2aa0baf42b1f2041,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:38,1159422549366085516_1_1,negative
2024-01-15,懂车帝,,宝马,宝马5系,G68,7324192688273063973,content,《新车入库》全新宝马5系来了！重点还是看价格,油车,NULL,https://www.dongchedi.com/ugc/article/7324192688273063973,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:44,1188051699478250135_1_1,positive
2024-02-03,懂车帝,,宝马,宝马5系,G68,1789842894271497,content,今天给车做保养，顺便转了转，感觉新5系这个外观真是一下不好评论了，主打年轻化电子化，但是稳重的感觉少了点，可能是宝马对客户的定位逐渐年轻化了。,油车,NULL,https://www.dongchedi.com/ugc/article/1789842894271497,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:45,1227784506768672119_1_1,positive
2024-04-25,autohome,宝马5系论坛,宝马,宝马5系,G68,108098897-1444134921,comment,帖透明的膜可以起到保护作用，钢琴漆面板还是容易造成指纹痕迹的而且还比较明显，所以贴膜还是比较好的选择。,油车,NULL,http://club.autohome.com.cn/bbs/thread/629fc9e719270489,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:45,1245037723160462589_1_1,positive
2024-01-24,懂车帝,,宝马,宝马5系,G68,1788941998853187,content,新5系这个金边太吸引眼球了，好爱～可惜贵了点。3系啥时候推新款哈哈～想买个便宜一点的电车,油车,NULL,https://www.dongchedi.com/ugc/article/1788941998853187,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:47,1260985519054784023_1_1,positive
2024-05-29,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1445884977,comment,有勇气买，就不要怕被喷。,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:47,1267722543026475536_1_1,positive
2024-05-24,懂车帝,,宝马,宝马5系,G68,1799862823837700,content,"你们的成交价比我高，还是比我低呢？ 宝马5系2024款530Li 领先型 豪华套装 2024-05在沈阳购入 裸车价31.00万元, 落地价37.50万元 贷款25w，两年后可以结清。",油车,NULL,https://www.dongchedi.com/ugc/article/1799862823837700,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:47,1287210669208162723_1_1,positive
2024-06-07,autohome,宝马5系论坛,宝马,宝马5系,G68,108405017-1446386941,comment,现在什么价格？,油车,NULL,http://club.autohome.com.cn/bbs/thread/1959edf8da78d8fd,others,,others,others,,,3,3,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:49,1379612741029680541_1_1,neutral
2024-06-01,autohome,宝马5系论坛,宝马,宝马5系,G68,108304461-1446038719,comment,真丑，想喷就喷,油车,NULL,http://club.autohome.com.cn/bbs/thread/5ef9f07b9ce23c76/108304461-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:49,1398307981938382655_1_1,negative
2024-06-09,autohome,宝马5系论坛,宝马,宝马5系,G68,108407045-1446474585,comment,今天去车展现场看了，新5系是真丑，还有7系,油车,NULL,http://club.autohome.com.cn/bbs/thread/86f4f596a6b52529/108407045-1.html,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:51,1428143414761858862_1_1,negative
2024-05-31,autohome,宝马i5论坛,宝马,宝马i5,G68,108262083-1445972322,comment,我一直认为宝马电车销量难以突破的主要原因是保险太贵了，19万裸车的i3保险1.2万，同价位的电车五六千足够了，关键第二年开始还要7000，这真不是普通人能承受的！我建议宝马公司招标一家保险公司合作，把保险降到正常水平（小米特斯拉理想这些二三十万的车保险第一年都7000左右），我觉得i3，i5，iX3这几款电车就可能突破2万的月销量,电车,NULL,http://club.autohome.com.cn/bbs/thread/d1444bc024a65dda/108262083-1.html,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:51,1468052013998162230_1_1,positive
2024-02-04,autohome,宝马5系论坛,宝马,宝马5系,G68,107527519-1439386201,comment,昨天去4S店看了实车，现在就有优惠了 ？,油车,NULL,http://club.autohome.com.cn/bbs/thread/46772f3f9c07fe49,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,1515001544778338483_1_1,positive
2024-05-02,懂车帝,,宝马,宝马5系,G68,7363966837228651276,comment,以前华晨都不改原版设计的，不知道为什么这次新5长轴要去改原版设计,油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,1522692886486892239_1_1,positive
2024-04-28,懂车帝,,宝马,宝马5系,G68,7362571917460620070,comment,说明新5设计太年轻化了，适龄有能力的欣赏不来，喜欢的年龄段买不起[我想静静],油车,NULL,,others,,others,others,,,5,5,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,1547888423135703373_1_1,positive
2024-04-14,懂车帝,,宝马,宝马5系,G68,7357418480997548827,comment,新五系的前脸和车身真是丑到极致,油车,NULL,,others,,others,others,,,1,1,"{""emt_flag"": [], ""labels"": []}",2024-06-13 15:48:53,1628476142840450166_1_1,negative
