level1,level2,level3,word,kw_tag,pre_words,exclude_words
EA/供油系统,燃油供应管线及其他,供油管泄漏,"漏油,渗油,泄漏,泄露,密封",,"油道,油路,输油,供油,油管,NVLD",柏油路
EA/供油系统,燃油供应管线及其他,供油管路其他,"油道,油路,输油,供油,油管,NVLD",,,"漏油,渗油,泄漏,泄露,密封,柏油路"
EA/供油系统,油耗,综合油耗,"油耗,耗油,费油,省油,L油,L/100KM,个油",,,"市区,城市,拥堵,高速"
EA/供油系统,油耗,城市道路油耗,"市区,城市,拥堵",,"油耗,耗油,费油,省油,L油,L/100KM,个油",
EA/供油系统,油耗,高速公路油耗,高速,,"油耗,耗油,费油,省油,L油,L/100KM,个油",
EA/传动系统,变速箱,变速箱换档速度,"换挡速度,切挡速度",,,
EA/传动系统,变速箱,变速箱换档平顺性,"平顺,顺畅,卡顿,顿挫",,"换挡,档位切换,切档,4档到5档,5档到6档",
EA/传动系统,变速箱,变速箱换档逻辑,逻辑,,"换挡,档位切换,切档",
EA/传动系统,变速箱,变速箱类型,"变速箱形式,变速箱类型,波箱形式,波箱类型,手动变速箱,自动变速箱,手自一体,AMT变速箱,双离合,无级变速,CVT,DSG,DCT,单速变速箱",,,
EA/传动系统,变速箱,档位数,"挡位数,挡位个数",,,
EA/传动系统,变速箱,变速箱噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动,静",,"变速箱,波箱,齿轮箱",
EA/传动系统,变速箱,变速箱漏油,"漏油,渗油,泄漏,泄露,密封",,"变速箱,波箱,齿轮箱",
EA/传动系统,变速箱,变速箱其他,"变速箱,波箱,齿轮箱",,,"噪音,声音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,震动,振动,漏油,渗油,泄漏,泄露,密封"
EA/传动系统,其他传动部件,分动箱质量,"分动器,分动箱",,,
EA/传动系统,其他传动部件,传动轴质量,传动轴,,,
EA/传动系统,其他传动部件,差速器质量,差速器,,,
EA/传动系统,其他传动部件,其他传动部件质量,传动,,,"传动轴,分动器,分动箱,差速器"
EA/传动系统,其他传动部件,前驱/后驱性能,"操控,性能,越野,加速,油耗,推背,循迹,抬头,漂移",,"前驱,后驱",
EA/传动系统,其他传动部件,全轮驱动性能,"操控,性能,越野,加速,油耗,推背,循迹,抬头,漂移",,"全驱,全轮驱动,四驱,AWD,4WD",
EA/传动系统,其他传动部件,驱动类型,"驱动类型,前驱,后驱,全驱,全轮驱动,四驱,AWD,4WD",,,"操控,性能,越野,加速,油耗,推背,循迹,抬头,漂移"
EA/发动机,发动机本体,发动机排量,排量,,,
EA/发动机,发动机本体,发动机缸径,缸径,,,
EA/发动机,发动机本体,发动机冲程,"气缸行程,做工行程,做功行程,排气行程,气缸冲程,做工冲程,做功冲程,排气冲程",,,
EA/发动机,发动机本体,气缸排列形式,"气缸排列,水平对置,直列,W12",,,
EA/发动机,发动机本体,气缸数,"气缸数,3缸,4缸,6缸,8缸,12缸,三缸,四缸,六缸,八缸,3个气缸,4个气缸,6个气缸,8个气缸,12个气缸,三个气缸,四个气缸,六个气缸,八个气缸,十二个气缸",,,
EA/发动机,发动机本体,气缸材料,"材料,材质,铝,铁",,气缸,气缸盖
EA/发动机,发动机本体,气缸盖材料,"材料,材质,铝,铁",,气缸盖,
EA/发动机,发动机本体,气缸盖其他,气缸盖,,,"气门室罩盖,材料,材质,铝,铁"
EA/发动机,发动机本体,气门室罩盖质量,气门室罩盖,,,
EA/发动机,发动机本体,发动机缸体质量,缸体,,,
EA/发动机,进气系统,进气形式,"自吸,自然吸气,增压",,,
EA/发动机,进气系统,每缸气门数,"气门数,2气门,4气门,5气门,两气门,四气门,五气门",,,
EA/发动机,进气系统,凸轮轴质量,"凸轮轴,凸轮",,,
EA/发动机,进气系统,正时机构质量,正时,,,
EA/发动机,进气系统,涡轮增压器质量,"涡轮增压器,增压器",,,
EA/发动机,进气系统,进气/排气阀门质量,"气门,阀门,进气门,排气门",,,"节气门,节气阀门"
EA/发动机,进气系统,空气滤清器质量,"空气滤清,空滤,空气滤芯",,,
EA/发动机,进气系统,进气歧管质量,进气歧管,,,
EA/发动机,进气系统,节气门质量,节气门,,,
EA/发动机,冷却系统,冷却液泄漏,"漏油,渗油,泄漏,泄露,密封",,冷却液,冷却液泵
EA/发动机,冷却系统,冷却液泵噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,冷却液泵,
EA/发动机,冷却系统,冷却液泵其他,冷却液泵,,,"异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,震动,振动"
EA/发动机,冷却系统,热管理模块泄漏,"漏油,渗油,泄漏,泄露,密封",,热管理,
EA/发动机,冷却系统,热管理模块其他,热管理,,,"漏油,渗油,泄漏,泄露,密封"
EA/发动机,冷却系统,散热器质量,散热器,,,
EA/发动机,冷却系统,中冷器质量,中冷器,,,
EA/发动机,冷却系统,电子风扇质量,风扇,,,空调
EA/发动机,曲轴系统,压缩比,压缩比,,,
EA/发动机,曲轴系统,曲轴质量,曲轴,,,
EA/发动机,曲轴系统,连杆质量,连杆,,,
EA/发动机,曲轴系统,活塞环质量,活塞环,,,
EA/发动机,曲轴系统,活塞质量,活塞,,,
EA/发动机,曲轴系统,飞轮质量,飞轮,,,
EA/发动机,润滑系统,机油泄漏,"漏油,渗油,泄漏,泄露,密封",,机油,机油泵
EA/发动机,润滑系统,机油滤清器质量,"机油滤清,机滤",,,
EA/发动机,润滑系统,机油泵质量,机油泵,,,
EA/发动机,润滑系统,机油消耗,"烧机油,机油消耗",,,
EA/发动机,润滑系统,机油压力,机油压力,,,
EA/发动机,排气系统,排气歧管质量,排气歧管,,,
EA/发动机,排气系统,消声器噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动",,消声器,
EA/发动机,排气系统,消声器其他,消声器,,,"异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,震动,振动"
EA/发动机,排气系统,催化器质量,"催化,三元催化",,,
EA/发动机,排气系统,汽油颗粒过滤器质量,颗粒过滤,,,
EA/发动机,起动机和配件,起动机质量,起动机,,,皮带
EA/发动机,起动机和配件,发电机质量,发电机,,,
EA/发动机,起动机和配件,皮带机构质量,皮带,,起动,
EA/发动机,起动机和配件,空调压缩机质量,压缩机,,,
EA/发动机,起动机和配件,低压蓄电池质量,"电瓶,蓄电池,低压电池,12v电池",,,
EA/发动机,点火系统,火花塞质量,火花塞,,,
EA/发动机,点火系统,高压点火线圈质量,"高压线圈,点火线圈",,,
EA/发动机,点火系统,高压点火线束质量,"高压线,点火线",,,"高压线圈,点火线圈"
EA/发动机,性能/概念,发动机功率,"功率,KW,千瓦",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,发动机扭矩,"扭矩,N·m,NM,牛米",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,发动机转速,转速,,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,加速性能 (ICE),"加速,提速,动力",,,"电动,充电,新能源,EV,舒适,舒服,不适,晕,平顺,顺畅,卡顿,顿挫,不习惯,推背,流畅,起步,超车"
EA/发动机,性能/概念,起步性能 (ICE),"加速,提速,快,慢,猛,肉,给力",,起步,"电动,充电,新能源,EV"
EA/发动机,性能/概念,超车性能 (ICE),"加速,提速,快,慢,猛,肉,给力",,超车,"电动,充电,新能源,EV"
EA/发动机,性能/概念,动力总成舒适性 (ICE),"舒适,舒服,不适,晕,平顺,顺畅,卡顿,顿挫,不习惯,流畅,线性,平稳",,"加速,提速,动力","电动,充电,新能源,EV"
EA/发动机,性能/概念,动力总成NVH (ICE),"NVH,噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,沙沙,轰轰,隆隆,咕咕,震动,振动,静",,发动机,"电动,充电,新能源,EV"
EA/发动机,性能/概念,发动机冷启动,"冷启动,冷车启动",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,发动机启停,"发动机启停,MSA,Start-Stop,StartStop,智能启停,滑行启停",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,排放法规,"排放标准,排放法规",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,动力总成信息显示 (ICE),"报警,警报,行车信息",,仪表,"电动,充电,新能源,EV"
EA/发动机,性能/概念,换挡设备 (ICE),"换挡装置,换挡设备,换挡手柄,挡杆,换挡球头,档杆球头,拨片换挡,换挡拨片,怀挡,换挡操纵杆,换挡旋钮,旋钮式换挡,换挡按钮,按钮式换挡",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,驾驶模式 (ICE),模式,,"驾驶,经济,越野,舒适,省油,节油,暴躁,运动,节能,平衡,普通,Autoe Drive,Maxe Drive,BATTERY CONTROL,comfort,ECO,Sport,normal","电动,充电,新能源,EV"
EA/发动机,性能/概念,车辆启动 (ICE),"自检,通电",,"启动,点火","电动,充电,新能源,EV"
EA/发动机,性能/概念,48V轻混系统,"48V,BSG,ISG,轻混,微混",,,"电动,充电,新能源,EV"
EA/发动机,性能/概念,发动机其他,发动机,,,"电动,充电,新能源,EV"
EF/转向,转向力,驻车时转向力感受,"方向盘 重,转向 重,打方向 重,方向盘 轻,转向 轻,打方向 轻,方向盘 费力,转向 费力,打方向 费力,方向盘 省力,转向 省力,打方向 省力,方向盘 费劲,转向 费劲,打方向 费劲,方向盘 省劲,转向 省劲,打方向 省劲,方向盘 硬,转向 硬,打方向 硬,方向盘 软,转向 软,打方向 软,方向盘 松,转向 松,打方向 松,方向盘 紧,转向 紧,打方向 紧",,"驻车,停车,怠速",
EF/转向,转向力,低速时转向力感受,"方向盘 重,转向 重,打方向 重,方向盘 轻,转向 轻,打方向 轻,方向盘 费力,转向 费力,打方向 费力,方向盘 省力,转向 省力,打方向 省力,方向盘 费劲,转向 费劲,打方向 费劲,方向盘 省劲,转向 省劲,打方向 省劲,方向盘 硬,转向 硬,打方向 硬,方向盘 软,转向 软,打方向 软,方向盘 松,转向 松,打方向 松,方向盘 紧,转向 紧,打方向 紧",,"低速,市区道路",
EF/转向,转向力,高速时转向力感受,"方向盘 重,转向 重,打方向 重,方向盘 轻,转向 轻,打方向 轻,方向盘 费力,转向 费力,打方向 费力,方向盘 省力,转向 省力,打方向 省力,方向盘 费劲,转向 费劲,打方向 费劲,方向盘 省劲,转向 省劲,打方向 省劲,方向盘 硬,转向 硬,打方向 硬,方向盘 软,转向 软,打方向 软,方向盘 松,转向 松,打方向 松,方向盘 紧,转向 紧,打方向 紧",,"高速,加速,超车,100km/h,120km/h",
EF/转向,转向力,转向力其他,"重,轻,费力,省力,费劲,省劲,硬,软,松,紧",,"方向盘,转向,打方向","驻车,停车,怠速,低速,市区道路,高速,加速,超车,100km/h,120km/h"
EF/转向,转向性能,转向比,转向比,,,
EF/转向,转向性能,回正能力,回正,,,
EF/转向,转向性能,直线行驶稳定性,直线行驶,,,"操控,循迹"
EF/转向,转向性能,转向灵敏度,"灵活,灵敏,虚位",,"方向盘,转向,打方向","操控,循迹"
EF/转向,转向控制,转向准确度,"准确,精准,不准,偏,精确",,"方向盘,转向,打方向","操控,循迹"
EF/转向,转向控制,操控驾驶性能,"稳,飘,离心,晃动,倾斜,侧倾,舒适",,"操控,驾,驶",方向盘倾斜
EF/转向,转向控制,指向准确性,"准确,精确,不准,偏",,"指向,行驶方向","操控,循迹"
EF/转向,转向控制,方向盘位置,"方向盘位置,方向盘高度,方向盘调节,方向盘距离,方向盘远近,方向盘高,方向盘低,方向盘远,方向盘近",,,"低速,高速,操控,循迹"
EF/转向,转向故障,转向噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,"方向盘,转向,打方向","转向管柱,转向柱"
EF/转向,转向故障,转向管柱调节噪声,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,"转向管柱,转向柱",
EF/转向,转向故障,转向管柱调节故障,"调节 故障,调节 坏了,调节 失效,调节 失灵,调节 质量,调节 不好用,调节 问题,调节 卡滞,调节 发卡",,"转向管柱,转向柱,方向盘",调节座椅
EF/转向,转向故障,转向抖动,"震动,振动,抖动,颤动,震感,发抖,共振",,"方向盘,转向,打方向,方向机","制动,刹车"
EF/转向,转向故障,转向冲击,"冲击,反馈",,"方向盘,转向,打方向,方向机",视觉
EF/转向,转向故障,无助力,"无助力,打不动,助力消失,助力失效,助力故障,没有助力",,"方向盘,转向,打方向,方向机",
EF/转向,转向故障,方向跑偏,"跑偏,方向不正,方向盘不正",,,
EF/转向,转向故障,转向故障其他,"故障,坏了,失效,失灵,质量,不好用,破损,损坏,磨损,破裂,裂痕,问题",,"方向盘,转向,打方向,方向机",
EF/转向,转向其他,转向其他,"转向,打方向,转向管柱,转向机,方向机",,,
EF/制动,制动性能,车身稳定控制 (ESC/ESP/DSC等),"车身稳定,ESC,ESP,DSC,VSA,VSM,PSM,VIDM,StabiliTrak,ADVANceTrac",,,
EF/制动,制动性能,制动能力,"制动能力,制动效果,刹车效果,刹车能力,紧急刹车,急刹",,,
EF/制动,制动性能,制动力,"制动力,刹车力",,,
EF/制动,制动性能,制动距离,"制动距离,刹车距离",,,
EF/制动,制动控制,电子驻车 (EPB/Autohold),"电子驻车,电子手刹,自动驻车,EPB,Autohold",,,
EF/制动,制动控制,制动踏板力,"力度,费力,力度",,"踏板,刹车,制动","油门踏板,离合踏板,离合器踏板,迎宾踏板"
EF/制动,制动控制,制动踏板行程,"行程,深",,"踏板,刹车,制动","油门踏板,离合踏板,离合器踏板,迎宾踏板"
EF/制动,制动控制,制动踏板感觉,感觉,,"踏板,刹车,制动","油门踏板,离合踏板,离合器踏板,迎宾踏板"
EF/制动,制动控制,制动响应,"灵敏,响应",,"踏板,刹车,制动","油门踏板,离合踏板,离合器踏板,迎宾踏板"
EF/制动,制动控制,踏板位置,"位置 高,位置 低,位置 角度",,踏板,"油门踏板,离合踏板,离合器踏板,迎宾踏板"
EF/制动,制动故障,制动粉尘,"制动粉尘,刹车粉尘,刹车片粉尘",,,
EF/制动,制动故障,摩擦片磨损,"磨损,偏磨,报警,摩得快,厚,薄,摩到铁,凹槽,不均匀,到期,请检查,不一致,磨平了,单边",,"摩擦片,刹车片,刹车盘",
EF/制动,制动故障,刹车噪音,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动,响声",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动故障,刹车抖动,"震动,振动,抖动,震荡,顿",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动故障,制动跑偏,"跑偏,左偏,右偏",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动故障,制动故障其他,"故障,坏了,失效,失灵,质量,不好用,问题",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动故障,制动锈蚀,"锈,蚀",,"摩擦片,刹车片,刹车盘,卡钳,刹车皮",
EF/制动,制动故障,制动泄漏,"泄漏,泄露,流出,溢出",,"制动液,刹车油",
EF/制动,制动故障,制动过热,"过热,发烫,烧红,冒烟,温度高,高温,焦味,发红,烧蚀,",,"摩擦片,刹车片,刹车盘,制动,刹车",
EF/制动,制动舒适性,制动能量回收,"能量回收,制动回收,动能回收",,,"主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动舒适性,制动点头,"前倾,点头",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动舒适性,制动稳定性,"稳定,平稳,晃动",,"制动,刹车,紧急刹车,急刹","主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动"
EF/制动,制动其他,制动其他,"制动,刹车,紧急刹车,急刹,刹车盘,刹车片,卡钳,摩擦片",,,"主动刹车,预防碰撞系统,前方碰撞预警系统,减少碰撞系统,预碰撞安全系统,碰撞缓解制动,刹车灯,ABS,EBD"
EF/车轮与轮胎,轮辋总体评价,轮辋造型,"造型,设计,好看,漂亮,帅气,大气,时尚,运动,动感,高档,丑,难看",,"轮辋,轮毂",
EF/车轮与轮胎,轮辋总体评价,轮辋颜色,"轮辋颜色,轮毂颜色,色轮辋,色轮毂",,,
EF/车轮与轮胎,轮辋总体评价,轮辋尺寸型号,"寸,R,大小",,"轮辋,轮毂,轮胎",
EF/车轮与轮胎,轮辋总体评价,轮辋材质,"铝,钢,铁,锻,轮毂材料,轮毂材质,轮辋材料,轮辋材质",,"轮辋,轮毂",
EF/车轮与轮胎,轮胎总体评价,防爆胎评价,"防爆胎,防爆轮胎",,,
EF/车轮与轮胎,轮胎总体评价,胎压监测,"胎压监测,PSB,WSB,胎压显示",,,
EF/车轮与轮胎,轮胎总体评价,轮胎耐久度,"耐久,磨损,耐磨,更换,寿命",,"轮胎,车胎",
EF/车轮与轮胎,轮胎总体评价,备胎/补胎液/维修套件,"备胎,补胎工具",,,
EF/车轮与轮胎,轮胎操控性,轮胎抓地力,抓地力,,,
EF/车轮与轮胎,轮胎操控性,轮胎操控性,"路感,性能,硬,软",,胎,
EF/车轮与轮胎,轮胎舒适性,轮胎舒适度,"舒服,舒适,颠簸",,胎,
EF/车轮与轮胎,轮胎舒适性,胎噪,胎噪,,,
EF/车轮与轮胎,车轮与轮胎故障,轮胎故障,"故障,坏了,失效,质量,不好用,破损,损坏,磨损,爆胎,变形,开裂,裂纹,报警",,"胎,轮辋,钢圈,轮毂,胎压,RDC","防爆胎,高质量"
EF/车轮与轮胎,车轮与轮胎故障,轮胎鼓包,"鼓包,凸起",,胎,
EF/车轮与轮胎,车轮与轮胎故障,轮胎开裂,"开裂,破裂",,胎,
EF/车轮与轮胎,车轮与轮胎故障,爆胎,漏气,,胎,
EF/车轮与轮胎,车轮与轮胎其他,车轮与轮胎其他,"轮胎,车胎,轮辋,钢圈,轮毂,RDC,抓地力",,,
EF/底盘悬架,悬架稳定性,悬架路感,"路感,反馈",,"底盘,悬挂,悬架",
EF/底盘悬架,悬架稳定性,过弯稳定性,"稳,飘,离心,晃动,倾斜,侧倾,舒适",,"过弯,弯道,转弯",
EF/底盘悬架,悬架稳定性,侧倾控制,"软,硬,舒服,舒适,晃,颠,稳,飘",,"底盘,悬挂,悬架,减速带,坑洼",
EF/底盘悬架,悬架配置,可调减振器,调节,,"底盘,悬挂,悬架",
EF/底盘悬架,悬架配置,弹簧/空气弹簧,"弹簧,空气",,"底盘,悬挂,悬架",
EF/底盘悬架,悬架配置,底盘护甲,"底盘护甲,底盘装甲",,,
EF/底盘悬架,悬架配置,麦弗逊悬挂,"麦弗逊,麦佛逊",,,
EF/底盘悬架,悬架配置,多连杆悬挂,多连杆,,悬架,
EF/底盘悬架,悬架故障,悬架异响,"噪音,异响,咯噔,滋滋,吱吱,嗡嗡,呜呜,呼呼,噪音,声音,刺耳,摩擦,吱吱,嗒嗒,咔哒,轰轰,隆隆,咕咕,震动,振动",,"底盘,悬挂,悬架,减速带,坑洼,烂路,不平整路面,井盖,颠簸路面,减震器,阻尼器,减震支柱,空气弹簧,避震,前部,摆臂,衬套,胶套,轮架,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,悬架抖动,"震动,振动,抖动,哆嗦,共振,共震",,"底盘,悬挂,悬架,减速带,坑洼,烂路,不平整路面,井盖,颠簸路面,减震器,阻尼器,减震支柱,空气弹簧,避震,前部,摆臂,衬套,胶套,轮架,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,悬架故障其他,"故障,坏了,失效,失灵,质量,破损,损坏,磨损,问题,漏气",,"悬架,底盘,悬挂,空气悬架,空气弹簧,减震器,车身高度,车身,减震支柱","高质量,车身大小"
EF/底盘悬架,悬架故障,悬架锈蚀,"锈,蚀",,"悬架,底盘,悬挂,减震器,阻尼器,减震支柱,空气弹簧,避震,摆臂,拉杆,控制臂,球头",
EF/底盘悬架,悬架故障,结构件开裂,"破裂,裂痕,开裂,断裂",,"悬架,底盘,悬挂,减震器,阻尼器,减震支柱,空气弹簧,避震,衬套,胶套,空气减震",
